"zpid","city","zipcode","propertyTaxRate","garageSpaces","hasAssociation","hasCooling","hasGarage","hasHeating","hasSpa","hasView","homeType","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
29429843,"austin",78758,1.98,0,0,1,0,1,0,0,"1",0,1971,339500,5,2020-01-22,1,2020,30,0,3,1,0,0,0,0,0,8755,1564,1,0,1,1,0.533333333333333,4,1028,14,2,3,1
29425343,"austin",78758,1.98,2,0,1,1,1,0,0,"1",2,1969,349999,1,2018-09-11,9,2018,37,0,6,2,0,0,0,0,0,8755,1530,1,0,1,1,0.466666666666667,4,1028,14,2,3,1
29429057,"austin",78753,1.98,0,0,1,0,1,0,1,"1",0,1979,170000,2,2020-07-01,7,2020,23,0,1,0,0,0,0,0,0,9147,780,1,0,1,1,1.03333333333333,3.33333333333333,936,14,1,2,1
58302554,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1973,217500,5,2019-11-19,11,2019,1,0,4,1,1,0,0,0,0,9583,1997,1,0,1,1,2,5,814,15,2,4,1
29429842,"austin",78758,1.98,0,0,1,0,1,0,0,"1",0,1971,315000,1,2019-02-14,2,2019,31,0,4,1,0,0,0,0,0,9278,1411,1,0,1,1,0.533333333333333,4,1028,14,2,3,1
29423840,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1964,225000,2,2018-06-21,6,2018,37,0,1,2,0,0,0,0,0,7353,1022,1,0,1,1,0.9,2.66666666666667,932,14,1,3,1
29431337,"austin",78758,1.98,0,0,1,0,1,0,0,"1",0,1974,435000,2,2019-04-24,4,2019,23,0,2,1,0,0,0,0,0,13503.6,1657,1,0,1,1,0.933333333333333,3.66666666666667,1002,14,2,4,1
29427044,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1965,399990,1,2019-12-16,12,2019,28,0,2,2,0,0,0,0,0,13068,1991,1,0,1,1,1.4,5,814,15,2,3,1
29427337,"austin",78757,1.98,2,0,1,1,1,0,1,"8",2,1970,415000,3,2020-10-09,10,2020,79,0,4,2,1,1,0,0,0,8537,2409,1,0,1,1,0.666666666666667,4,1019,14,4,5,1
29423836,"austin",78753,1.98,1,0,1,1,1,0,0,"1",1,1964,348000,4,2020-12-08,12,2020,40,0,6,2,3,1,0,0,0,7274,1208,1,0,1,1,0.866666666666667,2.66666666666667,932,14,2,3,1
29425543,"austin",78753,1.98,2,0,1,1,1,0,1,"1",2,1971,275000,6,2020-02-18,2,2020,17,0,4,2,2,0,0,0,0,8929,1157,1,0,1,1,1.2,5,814,15,2,3,1
29427042,"austin",78753,1.98,4,0,1,1,1,0,0,"1",4,1961,325000,3,2019-05-29,5,2019,36,0,8,3,0,0,0,0,0,13068,1727,1,0,1,1,1.4,5,814,15,2,3,1
29423333,"austin",78757,1.98,0,0,1,0,1,0,0,"1",0,1961,339000,1,2020-06-08,6,2020,23,0,0,1,0,0,0,0,0,7927,1033,1,0,1,1,0.533333333333333,4,1019,14,1,3,1
29429832,"austin",78758,1.98,0,1,1,0,1,0,0,"10",0,1982,545000,3,2019-02-26,2,2019,1,0,0,0,0,0,0,0,0,6969,3908,1,0,1,1,0.6,4,1104,14,0,0,2
29427041,"austin",78753,1.98,2,0,1,1,1,0,0,"1",2,1965,265000,5,2019-08-28,8,2019,40,0,4,2,1,1,0,0,0,13068,1978,1,0,1,1,1.4,5,814,15,2,3,1
29422332,"austin",78757,1.98,1,0,1,1,1,0,0,"4",1,1958,435000,1,2020-09-10,9,2020,50,0,2,2,0,1,0,0,0,11761.2,1252,1,0,1,1,0.566666666666667,4,1019,14,1,3,1
29425538,"austin",78753,1.98,2,0,1,1,1,0,0,"1",2,1971,324900,1,2020-04-06,4,2020,27,0,3,2,1,1,0,0,0,8398,1153,1,0,1,1,1.23333333333333,5,814,15,2,3,1
58302536,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1972,289000,2,2019-05-22,5,2019,28,0,3,1,0,0,0,0,0,9931,1412,1,0,1,1,1.86666666666667,5,814,15,2,3,1
29423330,"austin",78757,1.98,0,0,1,0,1,0,0,"1",0,1960,269900,9,2019-05-17,5,2019,40,0,4,1,0,1,0,1,0,7884,2209,1,0,1,1,0.533333333333333,4,1019,14,2,4,1
29427034,"austin",78753,1.98,0,0,1,0,1,0,0,"8",0,1982,359000,2,2018-08-21,8,2018,4,0,0,2,0,0,0,0,0,10236,3120,1,0,1,1,1,3.33333333333333,936,14,4,8,2
29431327,"austin",78758,1.98,2,0,1,1,1,0,0,"1",2,1973,419500,3,2020-03-02,3,2020,23,0,2,2,1,1,0,0,0,11761.2,1680,1,0,1,1,0.866666666666667,3.66666666666667,1002,14,2,3,1
29427032,"austin",78753,1.98,0,0,1,0,1,0,0,"8",0,1982,359000,2,2018-08-21,8,2018,3,0,0,2,0,0,0,0,0,12632.4,3120,1,0,1,1,1,3.33333333333333,936,14,4,8,2
29423325,"austin",78757,1.98,1,0,1,1,1,0,0,"1",1,1961,190000,9,2018-09-20,9,2018,22,0,1,2,0,0,0,0,0,8102,988,1,0,1,1,0.5,4,1019,14,1,3,1
29425530,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1971,289900,1,2019-02-25,2,2019,26,0,3,1,0,0,0,0,0,10890,1205,1,0,1,1,1.23333333333333,5,814,15,2,3,1
29432324,"austin",78758,1.98,2,0,1,1,1,0,0,"1",2,1973,430000,3,2020-03-20,3,2020,23,0,4,2,1,0,0,0,0,8581,1562,1,0,1,1,1.2,4.33333333333333,983,14,2,4,1
29425529,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1971,299900,1,2019-05-07,5,2019,25,0,3,1,0,0,0,0,0,8537,1195,1,0,1,1,1.23333333333333,5,814,15,2,3,1
29427322,"austin",78757,1.98,10,0,1,1,1,0,0,"8",10,1981,615000,1,2020-10-22,10,2020,22,0,3,3,0,0,0,0,0,11761.2,4128,1,0,1,1,0.733333333333333,4,1019,14,8,8,2
29425526,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1971,231500,2,2018-12-19,12,2018,23,0,5,1,0,0,0,0,0,7971,1042,1,0,1,1,1.36666666666667,4,838,14,2,3,1
